temperature_rnn,humidity_rnn,pressure_rnn,windSpeed_rnn,irradiance_rnn,temperature_actual,humidity_actual,pressure_actual,windSpeed_actual,irradiance_actual
27.842844,76.16978,1013.40894,0.0,20.78557,27.8,75.7,1013.43,0.0,0.0
27.845465,76.21473,1013.40265,0.0,21.325647,27.8,75.8,1013.4600000000002,0.0,0.0
27.842215,76.27341,1013.4115,0.0,20.819633,27.900000000000002,75.8,1013.44,0.0,0.0
27.889318,76.19527,1013.4024,0.0,21.18349,27.8,75.9,1013.4600000000002,0.0,0.0
27.864603,76.35453,1013.4129,0.0,20.999998,27.8,75.8,1013.4600000000002,0.0,0.0
27.861639,76.37913,1013.42206,0.0,21.778673,27.8,75.9,1013.45,0.0,0.0
27.85459,76.44158,1013.42206,0.0,21.690071,27.8,76.0,1013.45,0.0,0.0
27.84818,76.511986,1013.42,0.0,21.437794,27.8,76.0,1013.4600000000002,0.0,0.0
27.849285,76.53314,1013.42236,0.0,21.507532,27.900000000000002,76.1,1013.4600000000002,0.0,0.0
27.889664,76.47283,1013.4166,0.0,21.109999,27.900000000000002,76.1,1013.3800000000001,0.0,0.0
27.91737,76.51816,1013.3787,0.0,22.179901,27.8,76.1,1013.43,0.0,0.0
27.888474,76.66263,1013.38617,0.0,21.789074,27.8,76.2,1013.4,0.0,0.0
27.868393,76.77702,1013.3793,0.0,21.888256,27.900000000000002,76.2,1013.4099999999999,0.0,0.0
27.906473,76.68729,1013.3723,0.0,21.628975,27.8,76.2,1013.39,0.0,0.0
27.884907,76.78878,1013.36676,0.0,22.027016,27.900000000000002,76.2,1013.37,0.0,0.0
27.919262,76.71396,1013.3489,0.0,22.013546,27.900000000000002,76.3,1013.39,0.0,0.0
27.93046,76.73478,1013.34644,0.0,21.278053,27.900000000000002,76.4,1013.37,0.0,0.0
27.931564,76.81836,1013.3377,0.0,21.23493,27.900000000000002,76.5,1013.34,0.0,0.0
27.930359,76.93313,1013.3198,0.0,21.375954,27.900000000000002,76.5,1013.3200000000002,0.0,0.0
27.936352,77.00158,1013.3013,0.0,21.73835,27.900000000000002,76.5,1013.28,0.0,0.0
27.944942,77.053825,1013.2738,0.0,22.175789,27.900000000000002,76.4,1013.31,0.0,0.0
27.957525,77.0111,1013.2726,0.0,22.038788,27.900000000000002,76.3,1013.29,0.0,0.0
27.96873,76.948044,1013.2666,0.0,22.434235,27.900000000000002,76.3,1013.2700000000001,0.0,0.0
27.970942,76.926025,1013.2551,0.0,22.295147,27.900000000000002,76.3,1013.29,0.0,0.0
27.968609,76.89965,1013.25696,0.0,21.710932,27.900000000000002,76.2,1013.2700000000001,0.0,0.0
27.972239,76.841194,1013.2507,0.0,22.07926,27.900000000000002,76.2,1013.2700000000001,0.0,0.0
27.97019,76.81009,1013.2465,0.0,21.747112,27.900000000000002,76.3,1013.2299999999999,0.0,0.0
27.961563,76.8577,1013.22504,0.0,21.530539,27.900000000000002,76.2,1013.2299999999999,0.0,0.0
27.96552,76.822876,1013.21216,0.0,21.66003,27.900000000000002,76.4,1013.19,0.0,0.0
27.95377,76.91728,1013.1854,0.0,21.066458,27.900000000000002,76.4,1013.2100000000002,0.0,0.0
27.951086,76.940926,1013.1782,0.0,20.69229,27.900000000000002,76.5,1013.18,0.0,0.0
27.945435,77.008026,1013.16174,0.0,20.629436,27.900000000000002,76.4,1013.1600000000001,0.0,0.0
27.95351,76.994576,1013.14496,0.0,21.200329,27.900000000000002,76.5,1013.1300000000001,0.0,0.0
27.951761,77.04838,1013.12195,0.0,20.965546,27.900000000000002,76.5,1013.1,0.0,0.0
27.954397,77.08073,1013.09576,0.0,21.09608,27.900000000000002,76.4,1013.1300000000001,0.0,0.0
27.962276,77.025116,1013.0953,0.0,20.894796,27.900000000000002,76.4,1013.11,0.0,0.0
27.963486,77.0032,1013.08887,0.0,20.899385,27.900000000000002,76.5,1013.07,0.0,0.0
27.956894,77.05673,1013.06714,0.0,20.721048,27.900000000000002,76.3,1013.11,0.0,0.0
27.966873,76.95758,1013.07336,0.0,20.809978,27.900000000000002,76.4,1013.11,0.0,0.0
27.959711,76.95637,1013.07794,0.0,20.222782,27.900000000000002,76.4,1013.0899999999999,0.0,0.0
27.955786,76.96151,1013.07214,0.0,20.362288,27.900000000000002,76.4,1013.03,0.0,0.0
27.956202,76.9908,1013.0416,0.0,20.903915,27.900000000000002,76.4,1013.06,0.0,0.0
27.956528,76.98523,1013.0353,0.0,20.284414,27.900000000000002,76.3,1013.0399999999998,0.0,0.0
27.963419,76.93606,1013.0249,0.0,20.705849,27.900000000000002,76.4,1012.99,0.0,0.0
27.959335,76.98252,1012.99646,0.0,20.584435,27.900000000000002,76.5,1013.02,0.0,0.0
27.950705,77.03033,1012.99133,0.0,19.581436,27.900000000000002,76.4,1013.0,0.0,0.0
